event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,revenue
2019-11-01 00:21:18+00:00,purchase,4804056,2053013554658804075,electronics.audio.headphone,apple,130,562067899,c593dff7-13d2-49e7-9705-d7139674bd90,130
2019-11-01 00:21:49+00:00,purchase,1004741,2053013555631882655,electronics.smartphone,xiaomi,305,545304497,544a4c3e-0e95-4a8f-adf5-d3f0373bb471,305
2019-11-01 00:22:26+00:00,purchase,4804295,2053013554658804075,electronics.audio.headphone,xiaomi,325,543676870,df591141-16b5-4826-b2de-61efcac537b5,325
2019-11-01 00:23:26+00:00,purchase,1004835,2053013555631882655,electronics.smartphone,samsung,275,566282354,dfc45990-d8c1-4484-96d1-a5c8e161b0fa,275
2019-11-01 00:24:39+00:00,purchase,1005135,2053013555631882655,electronics.smartphone,apple,275,530717866,42968c23-4198-432a-b50b-969bae6c916f,275
2019-11-01 00:24:44+00:00,purchase,1005116,2053013555631882655,electronics.smartphone,apple,180,516316320,bb657773-1a1e-465d-b742-c54d32e0d82f,180
2019-11-01 00:25:35+00:00,purchase,4804056,2053013554658804075,electronics.audio.headphone,apple,130,520214844,47f0b244-18c9-4bf3-b465-80a6376f890e,130
2019-11-01 00:26:01+00:00,purchase,1004856,2053013555631882655,electronics.smartphone,samsung,130,552335155,68886270-f06a-46db-8885-73230c0b90db,130
2019-11-01 00:26:05+00:00,purchase,48300031,2116907504691576833,,,255,547211786,61ef6104-d3fa-4cbd-ac5d-77a888ec5bac,255
2019-11-01 00:26:10+00:00,purchase,1005135,2053013555631882655,electronics.smartphone,apple,275,530717866,42968c23-4198-432a-b50b-969bae6c916f,275
2019-11-01 00:26:29+00:00,purchase,4804056,2053013554658804075,electronics.audio.headphone,apple,130,520214844,47f0b244-18c9-4bf3-b465-80a6376f890e,130
2019-11-01 00:26:55+00:00,purchase,30000238,2127425436764865054,construction.tools.welding,hyundai,290,537873516,db647be8-d1d3-4ee0-b5bf-1af058d13861,290
2019-11-01 00:27:47+00:00,purchase,17000107,2053013558391734853,computers.desktop,sv,135,548719875,68bc6a85-ba5a-4688-a95f-bc506bcd1d40,135
2019-11-01 00:28:52+00:00,purchase,1004750,2053013555631882655,electronics.smartphone,samsung,100,566283682,de091fef-df78-4a68-98db-86260802b936,100
2019-11-01 00:29:03+00:00,purchase,12711986,2053013553559896355,,triangle,280,550473072,fc5260c3-24d0-42c5-87d5-cfbbfa8b0248,280
2019-11-01 00:29:07+00:00,purchase,1802104,2053013554415534427,electronics.video.tv,arg,120,552335155,68886270-f06a-46db-8885-73230c0b90db,120
2019-11-01 00:29:39+00:00,purchase,1004788,2053013555631882655,electronics.smartphone,xiaomi,290,565688911,6ab9d717-95e3-4d97-a78d-814226bbc021,290
2019-11-01 00:30:57+00:00,purchase,4803977,2053013554658804075,electronics.audio.headphone,samsung,235,557530559,bc0db4bf-59a2-480e-a955-dababa41991b,235
2019-11-01 00:31:06+00:00,purchase,8500094,2053013552259662037,,bosch,320,515089842,aca39b9f-8030-4dda-9d4a-903a5f2baa7b,320
2019-11-01 00:31:46+00:00,purchase,4802233,2053013554658804075,electronics.audio.headphone,jbl,265,545948530,5169cc52-096b-45c9-9945-ef467e796371,265
2019-11-01 00:31:54+00:00,purchase,26200039,2053013563693335403,,,295,552059880,0ca8079b-fa77-447b-8420-370609ee8cad,295
2019-11-01 00:31:57+00:00,purchase,28717081,2053013565069067197,apparel.shoes.keds,puma,255,560914255,5d970d08-ccf5-4221-8e18-d9bf8299fe79,255
2019-11-01 00:32:36+00:00,purchase,17301319,2053013553853497655,,montblanc,195,561564372,3dc250b7-9bd1-4c96-a365-0bf42e4cf2ad,195
2019-11-01 00:32:57+00:00,purchase,4000170,2053013566142809077,construction.tools.generator,tefal,200,514101034,16dd8ceb-01f6-4276-9b2b-000e4287b1ad,200
2019-11-01 00:33:17+00:00,purchase,1005135,2053013555631882655,electronics.smartphone,apple,275,542210844,f7638f88-5128-4c10-967c-7ebc1fb26da8,275
2019-11-01 00:33:19+00:00,purchase,21401210,2053013561579406073,electronics.clocks,casio,150,566282354,dfc45990-d8c1-4484-96d1-a5c8e161b0fa,150
2019-11-01 00:33:27+00:00,purchase,26402783,2053013563651392361,,,265,547961159,471fb850-e031-4b0c-84bd-719e22d1b0cc,265
2019-11-01 00:34:08+00:00,purchase,1005238,2053013555631882655,electronics.smartphone,oppo,290,554596785,1bfbbf1a-906c-46b6-8ac7-9976dc6f5123,290
2019-11-01 00:34:14+00:00,purchase,1002544,2053013555631882655,electronics.smartphone,apple,320,557994805,b3bbf6e2-f995-4482-aceb-2a5695406d93,320
2019-11-01 00:34:18+00:00,purchase,1004768,2053013555631882655,electronics.smartphone,samsung,190,486999716,2666d6ed-08d8-4a83-b487-2cccbfbf34ff,190
2019-11-01 00:34:20+00:00,purchase,4100291,2053013561218695907,,sony,305,521793571,4daa12d3-bc19-4f01-8082-6e69606a6316,305
2019-11-01 00:35:19+00:00,purchase,17301319,2053013553853497655,,montblanc,195,561564372,3dc250b7-9bd1-4c96-a365-0bf42e4cf2ad,195
2019-11-01 00:35:23+00:00,purchase,4100291,2053013561218695907,,sony,305,521793571,4daa12d3-bc19-4f01-8082-6e69606a6316,305
2019-11-01 00:36:03+00:00,purchase,17301319,2053013553853497655,,montblanc,195,561564372,b39a96f9-30ee-493a-881a-94d98bae47e6,195
2019-11-01 00:36:13+00:00,purchase,28715623,2053013565069067197,apparel.shoes.keds,peak,215,549422045,2673c1c7-2048-4612-a0f2-1d0724b7b0ae,215
2019-11-01 00:36:15+00:00,purchase,4100291,2053013561218695907,,sony,305,521793571,4daa12d3-bc19-4f01-8082-6e69606a6316,305
2019-11-01 00:37:46+00:00,purchase,1004659,2053013555631882655,electronics.smartphone,samsung,145,562200921,ca5a71f1-33c8-4fcd-b793-5fcea6f260c0,145
2019-11-01 00:37:49+00:00,purchase,1004246,2053013555631882655,electronics.smartphone,apple,330,562783832,b68d89f5-077a-4257-acf4-1ad0034b04a9,330
2019-11-01 00:38:09+00:00,purchase,1004856,2053013555631882655,electronics.smartphone,samsung,130,562301215,340bf209-0494-4088-bdd1-da3a835d7fbd,130
2019-11-01 00:39:17+00:00,purchase,26500092,2053013563550729061,,lucente,310,545710706,d943a9f2-4908-4ff6-ab59-f732eb49aaab,310
2019-11-01 00:39:31+00:00,purchase,28704386,2053013565069067197,apparel.shoes.keds,asics,280,524543436,df0a5e3e-2bcd-44cb-af9d-432c6244d847,280
2019-11-01 00:40:04+00:00,purchase,12703106,2053013553559896355,,maxxis,130,526188048,9f9798fd-21da-4428-8dd4-7e2a6d6eaf49,130
2019-11-01 00:40:06+00:00,purchase,3100034,2053013555262783879,appliances.kitchen.blender,braun,270,566285005,bb5aaefd-1e44-4408-81c2-a2ae63f2e355,270
2019-11-01 00:40:29+00:00,purchase,4100346,2053013561218695907,,sony,330,521793571,4daa12d3-bc19-4f01-8082-6e69606a6316,330
2019-11-01 00:40:38+00:00,purchase,12703494,2053013553559896355,,cordiant,320,563163362,6fe68311-a4c7-4daf-9d2a-b7d3d9d0715f,320
2019-11-01 00:40:50+00:00,purchase,12709562,2053013553559896355,,viatti,160,541920131,c26915a5-1264-4edf-a2f9-c08fedb52f8a,160
2019-11-01 00:41:14+00:00,purchase,1004253,2053013555631882655,electronics.smartphone,apple,115,522717744,a10ba4f8-26bb-4ecf-8f71-6626711bfd2f,115
